,id,object_name,chain,object_type,address,number,street,district
6114,26326,москва - макдоналдс,да,ресторан,"город Москва, Профсоюзная улица, дом 61А",70, Профсоюзная улица,район Черёмушки
6115,20688,гамма лайт,нет,бар,"город Москва, Профсоюзная улица, дом 61А",50, Профсоюзная улица,район Черёмушки
6116,20410,сердолик-ю,нет,бар,"город Москва, Профсоюзная улица, дом 61А",0, Профсоюзная улица,район Черёмушки
6117,89735,макдоналдс,да,ресторан,"город Москва, Профсоюзная улица, дом 61А",0, Профсоюзная улица,район Черёмушки
6118,89841,крошка картошка,да,кафе,"город Москва, Профсоюзная улица, дом 61А",0, Профсоюзная улица,район Черёмушки
6130,125159,кафе «пассаж»,нет,кафе,"город Москва, Профсоюзная улица, дом 126, строение 7",24, Профсоюзная улица,район Тёплый Стан
6131,23882,бургер кинг,да,кафе,"город Москва, Профсоюзная улица, дом 102, строение 1",50, Профсоюзная улица,район Коньково
6145,23958,кафе шоколад,да,кафе,"город Москва, Профсоюзная улица, дом 45А",90, Профсоюзная улица,район Черёмушки
6158,21700,му-му,да,ресторан,"город Москва, Профсоюзная улица, дом 129А",180, Профсоюзная улица,район Ясенево
6159,70112,эмиратас,нет,кафе,"город Москва, Профсоюзная улица, дом 129А",120, Профсоюзная улица,район Ясенево
6160,70125,шоколадница,да,кафе,"город Москва, Профсоюзная улица, дом 129А",55, Профсоюзная улица,район Ясенево
6161,91152,япоша,да,ресторан,"город Москва, Профсоюзная улица, дом 129А",150, Профсоюзная улица,район Ясенево
6162,91156,макдоналдс,да,ресторан,"город Москва, Профсоюзная улица, дом 129А",120, Профсоюзная улица,район Ясенево
6163,91157,бургер кинг,да,кафе,"город Москва, Профсоюзная улица, дом 129А",60, Профсоюзная улица,район Ясенево
6164,91158,маки-маки,да,кафе,"город Москва, Профсоюзная улица, дом 129А",100, Профсоюзная улица,район Ясенево
6173,59204,фаворит,нет,ресторан,"город Москва, Профсоюзная улица, дом 21А",120, Профсоюзная улица,район Черёмушки
